spike	Rngerm.CD.R13.star	Rngerm.CD.R14.star	Rngerm.CD.R15.star	Rngerm.CD.R16.star	Rngerm.HFD.R10.star	Rngerm.HFD.R11.star	Rngerm.HFD.R12.star	Rngerm.HFD.R9.star
spike-in_7.5_3.05_6852	174	160	204	254	2264	1266	1442	1559
spike-in_7.5_3.05_6853	351	287	126	169	2694	1857	1780	1684
spike-in_7.5_3.05_6854	119	126	191	208	1885	1177	1377	1079
spike-in_7.5_3.05_6855	93	123	162	133	1419	964	859	892
spike-in_7.5_3.05_6856	378	361	96	64	2421	1656	1885	1506
spike-in_7.5_3.05_6857	137	145	249	224	2015	1439	1405	1393
spike-in_7.5_3.05_6858	144	106	173	155	1640	947	1159	1000
spike-in_7.5_3.05_6859	215	174	267	174	2482	1493	1726	1428
spike-in_7.5_3.05_6860	221	167	241	277	2583	1453	1717	1782
spike-in_7.5_3.05_6861	135	131	182	197	1796	1137	1250	1144
spike-in_7.5_3.05_6862	164	156	306	294	2782	1514	1822	1686
spike-in_7.5_3.05_6863	144	146	211	174	1934	1309	1351	1190
spike-in_7.5_3.05_6864	169	120	184	168	1814	1107	1179	1099
spike-in_5.5_4.55_6865	32	19	41	36	1130	662	685	632
spike-in_5.5_4.55_6866	35	36	44	39	1253	885	915	752
spike-in_5.5_4.55_6867	27	32	46	37	1156	663	767	714
spike-in_5.5_4.55_6868	35	32	48	40	1202	931	1026	561
spike-in_5.5_4.55_6869	36	23	40	54	1189	799	943	800
spike-in_5.5_4.55_6870	33	32	37	49	1229	853	830	808
spike-in_5.5_4.55_6871	32	25	42	80	1490	977	1026	860
spike-in_5.5_4.55_6872	66	31	66	73	1661	1475	1167	1213
spike-in_5.5_4.55_6873	60	32	47	64	1681	965	1059	1187
spike-in_5.5_4.55_6874	53	49	65	51	1839	1145	1394	979
spike-in_5.5_4.55_6875	27	22	55	22	1148	723	613	609
spike-in_5.5_4.55_6876	20	14	48	82	1303	882	1030	835
spike-in_5.5_4.55_6877	43	35	41	84	1689	1064	1135	1025
spike-in_5.5_4.55_6878	53	47	90	54	1751	1378	1487	1049
spike-in_5.5_4.55_6879	64	35	48	69	1811	1062	1158	1277
spike-in_5.5_4.55_6880	52	53	39	49	1580	915	1091	996
spike-in_5.5_4.55_6881	22	23	52	36	1214	648	861	475
spike-in_5.5_4.55_6882	20	25	34	54	1152	679	626	670
spike-in_5.5_4.55_6883	49	43	62	73	1944	1282	1200	853
spike-in_5.5_4.55_6884	43	54	75	49	1816	1079	1276	1158
spike-in_5.5_4.55_6885	51	39	73	68	1796	1137	1250	1144
spike-in_5.5_4.55_6886	51	29	54	38	1360	945	1068	813
spike-in_5.5_4.55_6887	61	43	57	60	1779	1199	1250	1053
spike-in_5.5_4.55_6888	31	23	60	38	1326	719	786	698
spike-in_5.5_4.55_6889	28	42	36	25	1106	664	733	607
spike-in_5.5_4.55_6890	21	40	46	33	1308	631	919	504
spike-in_5.5_4.55_6891	28	42	56	37	1412	970	1011	548
spike-in_5.5_4.55_6892	30	28	32	63	1133	869	912	881
spike-in_5.5_4.55_6893	51	30	33	32	1180	900	738	791
spike-in_5.5_4.55_6894	23	21	44	46	1117	691	706	722
spike-in_5.5_4.55_6895	37	31	51	39	1282	859	851	723
spike-in_5.5_4.55_6896	40	30	49	50	1129	1305	875	730
spike-in_5.5_4.55_6897	21	32	45	33	924	749	632	763
spike-in_5.5_4.55_6898	52	41	67	51	1798	1103	1060	1012
spike-in_5.5_4.55_6899	46	46	20	36	1185	916	772	648
spike-in_5.5_4.55_6900	45	33	30	37	1074	940	846	637
spike-in_5.5_4.55_6901	58	39	74	77	2027	1165	1435	1072
spike-in_5.5_4.55_6902	40	27	47	84	1695	1021	1198	973
spike-in_5.5_4.55_6903	48	20	42	25	997	815	687	765
spike-in_5.5_4.55_6904	44	45	74	48	1872	1077	1350	878
spike-in_5.5_4.55_6905	44	31	54	34	1332	959	833	895
spike-in_5.5_4.55_6906	49	54	38	103	1885	1291	1297	1168
spike-in_5.5_4.55_6907	15	28	77	52	1512	940	922	867
spike-in_5.5_4.55_6908	47	38	55	85	1958	1229	1119	1096
spike-in_5.5_4.55_6909	25	13	42	52	1188	619	898	503
spike-in_5.5_4.55_6910	45	15	56	37	1270	758	1003	744
spike-in_5.5_4.55_6911	25	39	70	34	1417	750	916	808
spike-in_5.5_4.55_6912	40	16	48	60	1464	866	829	834
spike-in_5.5_4.55_6913	37	44	41	23	944	1006	888	664
spike-in_5.5_4.55_6914	59	73	74	28	1854	1361	1122	1128
spike-in_5.5_4.55_6915	37	46	52	50	1546	863	1042	857
spike-in_5.5_4.55_6916	20	30	35	49	999	714	853	654
spike-in_5.5_4.55_6917	68	32	69	66	2011	1304	1183	1232
spike-in_5.5_4.55_6918	40	40	33	38	1221	877	759	745
spike-in_5.5_4.55_6919	48	56	64	84	2086	1378	1260	1329
spike-in_5.5_4.55_6920	38	50	48	50	1541	1073	995	977
spike-in_5.5_4.55_6921	41	42	84	31	1580	915	1091	996
spike-in_11.5_1.95_6922	2416	2162	3054	1919	12246	8090	8021	8110
spike-in_11.5_1.95_6923	2737	2275	3816	2980	14969	9958	10032	9809
spike-in_11.5_1.95_6924	3026	2767	4030	2758	16030	10683	10330	9982
spike-in_11.5_1.95_6925	3352	2410	3473	2615	16916	9932	12644	7897
spike-in_11.5_1.95_6926	3725	3246	4575	3203	16758	14321	13503	11152
spike-in_11.5_1.95_6927	3088	2595	3863	2909	16370	10464	10516	10398
spike-in_11.5_1.95_6928	3212	2750	4416	3462	14906	13993	13788	9415
spike-in_11.5_1.95_6929	2100	1755	3029	2448	12892	7851	8621	7918
spike-in_11.5_1.95_6930	1918	1903	2916	2884	13159	8312	8602	8182
spike-in_11.5_1.95_6931	1666	1712	2874	2505	9889	9087	8661	6172
spike-in_11.5_1.95_6932	2501	2114	3995	3714	14502	12653	10987	10325
spike-in_11.5_1.95_6933	2646	2590	4455	3926	16535	13812	13546	10153
spike-in_11.5_1.95_6934	4102	3290	3977	2813	16583	13239	13179	10039
spike-in_11.5_1.95_6935	2073	1903	3645	3293	13346	9814	9585	9172
spike-in_11.5_1.95_6936	1762	1591	2902	2880	11593	7514	8623	6406
spike-in_11.5_1.95_6937	1833	1600	2732	2417	11586	7357	7725	7314
spike-in_11.5_1.95_6938	2024	1805	2918	2596	11894	8257	8277	7323
spike-in_11.5_1.95_6939	2710	2234	2747	1830	12124	8486	8248	7428
spike-in_11.5_1.95_6940	2789	2511	4401	4101	18000	12201	11603	11879
spike-in_11.5_1.95_6941	2513	2213	4003	3638	17593	8813	13008	9397
spike-in_11.5_1.95_6942	2219	2075	3596	3122	12067	11496	9953	8239
spike-in_8.5_2.85_6943	218	238	289	337	2507	1815	1866	1489
spike-in_8.5_2.85_6944	350	336	377	196	2715	2382	2350	1554
spike-in_8.5_2.85_6945	253	233	359	348	2804	1858	2089	1877
spike-in_8.5_2.85_6946	312	266	447	636	3809	2675	2747	2374
spike-in_8.5_2.85_6947	260	247	471	398	3441	2096	2402	2183
spike-in_8.5_2.85_6948	396	414	429	327	3641	2404	2564	2534
spike-in_8.5_2.85_6949	378	369	601	564	4825	2792	3286	2983
spike-in_8.5_2.85_6950	389	351	571	553	4370	3096	3137	2799
spike-in_8.5_2.85_6951	216	198	356	332	2737	1733	1955	1463
spike-in_8.5_2.85_6952	266	245	365	401	3180	1916	2227	2040
spike-in_8.5_2.85_6953	380	350	416	382	3290	2996	2962	1809
spike-in_8.5_2.85_6954	298	261	476	417	3792	2027	2627	1866
spike-in_8.5_2.85_6955	320	333	541	746	4766	3057	3209	2985
spike-in_8.5_2.85_6956	507	353	440	452	3746	3474	3171	2054
spike-in_8.5_2.85_6957	238	265	382	396	3343	2140	2006	1889
spike-in_8.5_2.85_6958	354	302	406	288	3234	2063	2366	1983
spike-in_8.5_2.85_6959	207	235	422	501	3239	2122	2190	1986
spike-in_8.5_2.85_6960	322	331	580	602	5064	2344	3451	2349
spike-in_8.5_2.85_6961	295	304	567	586	4321	2700	2942	2642
spike-in_8.5_2.85_6962	431	334	559	378	4224	2602	2778	2574
spike-in_8.5_2.85_6963	340	276	526	424	3774	2607	2634	2458
spike-in_8.5_2.85_6964	380	375	620	651	4746	3163	3498	3044
spike-in_8.5_2.85_6965	246	266	345	291	2978	1754	1912	1698
spike-in_8.5_2.85_6966	236	247	457	418	3321	2036	2493	1845
spike-in_8.5_2.85_6967	256	231	359	307	2795	1809	2010	1669
spike-in_8.5_2.85_6968	611	478	449	430	4734	3307	3049	2951
spike-in_8.5_2.85_6969	408	306	491	448	4095	2793	2427	2508
spike-in_8.5_2.85_6970	532	538	519	341	4825	2792	3286	2983
spike-in_8.5_2.85_6971	330	338	483	480	4295	2168	3045	2391
spike-in_8.5_2.85_6972	389	403	521	561	4910	3018	3597	2408
spike-in_8.5_2.85_6973	252	242	359	232	2810	1860	1753	1653
spike-in_8.5_2.85_6974	230	197	334	267	2333	1866	2199	1285
spike-in_8.5_2.85_6975	378	362	523	458	4359	2589	2840	2931
spike-in_8.5_2.85_6976	249	235	367	323	2923	2006	1887	1964
spike-in_8.5_2.85_6977	402	347	556	497	4798	2584	3147	2174
spike-in_8.5_2.85_6978	504	494	575	385	4899	3104	3490	2790
spike-in_8.5_2.85_6979	360	315	517	306	3648	2301	2513	2259
spike-in_8.5_2.85_6980	281	257	387	402	3388	2120	2508	1854
spike-in_8.5_2.85_6981	392	288	475	344	3440	2789	2785	2146
spike-in_8.5_2.85_6982	426	434	482	298	4105	2550	2644	2687
spike-in_8.5_2.85_6983	375	368	569	433	4320	2679	3026	2821
spike-in_8.5_2.85_6984	301	267	443	354	3158	2089	2230	2138
spike-in_8.5_2.85_6985	457	400	504	544	4433	2995	3002	2922
spike-in_8.5_2.85_6986	526	435	478	358	4607	2923	3088	2743
spike-in_8.5_2.85_6987	281	324	457	536	3562	2767	2848	2167
spike-in_8.5_2.85_6988	406	398	579	462	4556	2747	3177	3157
spike-in_5.5_0.95_6989	67	51	69	32	129	91	135	61
spike-in_5.5_0.95_6990	30	24	33	52	124	76	26	54
spike-in_5.5_0.95_6991	31	34	36	63	96	84	77	66
spike-in_5.5_0.95_6992	49	31	51	33	128	56	81	46
spike-in_5.5_0.95_6993	67	56	48	57	124	105	88	130
spike-in_5.5_0.95_6994	32	23	34	38	92	59	59	46
spike-in_5.5_0.95_6995	51	30	33	32	84	71	69	63
spike-in_5.5_0.95_6996	45	44	28	60	120	72	74	81
spike-in_5.5_0.95_6997	35	36	53	37	93	94	69	69
spike-in_5.5_0.95_6998	50	64	65	67	127	131	85	122
spike-in_5.5_0.95_6999	23	32	45	40	96	56	68	56
spike-in_5.5_0.95_7000	33	47	30	24	104	65	64	38
spike-in_5.5_0.95_7001	60	40	54	36	122	83	90	81
spike-in_5.5_0.95_7002	33	37	57	65	115	87	80	83
spike-in_5.5_0.95_7003	45	41	29	13	86	56	45	67
spike-in_5.5_0.95_7004	32	48	54	55	111	133	69	59
spike-in_5.5_0.95_7005	22	25	52	28	117	49	34	47
spike-in_5.5_0.95_7006	36	44	43	25	80	58	66	92
spike-in_5.5_0.95_7007	35	36	44	39	93	69	58	71
spike-in_5.5_0.95_7008	35	44	71	62	151	84	98	72
spike-in_5.5_0.95_7009	74	60	55	40	156	86	104	85
spike-in_5.5_0.95_7010	68	38	34	62	140	99	90	71
spike-in_5.5_0.95_7011	45	55	34	56	122	83	90	81
spike-in_5.5_0.95_7012	28	34	15	53	72	90	37	53
spike-in_5.5_0.95_7013	38	28	57	32	122	82	51	52
spike-in_5.5_0.95_7014	40	42	78	56	202	44	135	42
spike-in_5.5_0.95_7015	45	33	62	98	166	99	123	85
spike-in_5.5_0.95_7016	40	34	41	37	106	80	58	46
spike-in_5.5_0.95_7017	40	27	40	20	82	72	37	59
spike-in_5.5_0.95_7018	64	33	54	56	130	92	109	66
spike-in_5.5_0.95_7019	45	38	50	89	177	114	65	62
spike-in_5.5_0.95_7020	36	46	66	78	155	104	85	96
spike-in_5.5_0.95_7021	31	23	60	38	118	43	78	66
spike-in_5.5_0.95_7022	45	38	42	32	91	81	57	84
spike-in_5.5_0.95_7023	22	26	32	46	69	68	62	57
spike-in_5.5_0.95_7024	67	33	80	54	149	110	89	103
spike-in_5.5_0.95_7025	27	45	36	53	124	69	58	68
spike-in_9.5_2.25_7026	746	647	1487	1143	6169	4587	4441	3792
spike-in_9.5_2.25_7027	655	500	642	700	4163	2714	2860	2563
spike-in_9.5_2.25_7028	797	760	1200	1118	6351	4139	4427	4063
spike-in_9.5_2.25_7029	480	382	719	734	4122	2085	2930	1800
spike-in_9.5_2.25_7030	652	600	722	1352	5603	3166	3881	3042
spike-in_9.5_2.25_7031	718	565	1033	942	5362	3279	3373	3492
spike-in_9.5_2.25_7032	918	800	845	597	4396	3631	3792	3061
spike-in_9.5_2.25_7033	833	695	1210	987	5918	4305	3838	4058
spike-in_9.5_2.25_7034	621	542	963	824	5460	2148	3968	2041
spike-in_9.5_2.25_7035	760	681	1048	710	5149	3425	3662	3157
spike-in_9.5_2.25_7036	467	422	1024	729	4305	2991	3216	2362
spike-in_9.5_2.25_7037	921	752	1208	1090	7004	4165	5029	3216
spike-in_9.5_2.25_7038	1218	916	1087	713	6034	4652	4051	3873
spike-in_9.5_2.25_7039	468	394	728	500	3215	2216	2207	2321
spike-in_9.5_2.25_7040	579	454	626	643	3808	2332	2462	2331
spike-in_9.5_2.25_7041	901	708	1327	987	6417	3781	4267	4066
spike-in_9.5_2.25_7042	605	499	953	946	4382	3630	3837	2863
spike-in_9.5_2.25_7043	467	431	773	890	4075	3033	2725	2462
spike-in_9.5_2.25_7044	768	715	1226	1121	6120	4381	4641	3177
spike-in_9.5_2.25_7045	521	486	723	482	3604	2405	2556	2102
spike-in_9.5_2.25_7046	757	592	1049	893	5073	3754	3399	3322
spike-in_9.5_2.25_7047	766	616	831	542	4370	3096	3137	2799
spike-in_9.5_2.25_7048	632	570	892	946	4635	3150	3122	3160
spike-in_9.5_2.25_7049	576	497	930	828	4154	3482	3252	2812
spike-in_9.5_2.25_7050	923	835	1031	755	5438	3730	3401	3870
spike-in_9.5_2.25_7051	709	672	1024	869	5227	3597	3594	3227
spike-in_9.5_2.25_7052	782	668	1042	870	5335	3427	3462	3615
spike-in_9.5_2.25_7053	905	749	1092	848	5791	4039	3817	3555
spike-in_9.5_2.25_7054	643	530	526	419	3190	2687	2375	2037
spike-in_9.5_2.25_7055	843	665	1165	1006	5995	3900	3644	3627
spike-in_5.5_2.15_7056	62	49	46	88	388	255	221	222
spike-in_5.5_2.15_7057	32	22	32	50	233	120	161	105
spike-in_5.5_2.15_7058	46	52	42	49	266	219	163	188
spike-in_5.5_2.15_7059	60	37	44	42	303	185	198	158
spike-in_5.5_2.15_7060	41	81	43	22	300	212	182	158
spike-in_5.5_2.15_7061	46	22	38	36	241	166	120	102
spike-in_5.5_2.15_7062	37	26	40	28	191	159	136	108
spike-in_5.5_2.15_7063	52	29	52	62	257	209	249	152
spike-in_5.5_2.15_7064	42	42	81	83	264	340	339	199
spike-in_5.5_2.15_7065	48	48	66	58	316	221	216	224
spike-in_5.5_2.15_7066	28	35	40	68	324	168	156	144
spike-in_5.5_2.15_7067	42	65	52	60	339	220	216	221
spike-in_5.5_2.15_7068	32	44	57	73	280	204	219	203
spike-in_5.5_2.15_7069	39	30	50	43	231	189	171	132
spike-in_5.5_2.15_7070	39	42	53	80	374	189	184	225
spike-in_5.5_2.15_7071	30	33	50	51	247	162	162	161
spike-in_5.5_2.15_7072	60	38	74	53	310	262	247	204
spike-in_5.5_2.15_7073	30	43	60	73	314	217	209	216
spike-in_5.5_2.15_7074	56	45	75	56	285	248	287	201
spike-in_5.5_2.15_7075	29	21	46	66	325	124	164	116
spike-in_5.5_2.15_7076	46	28	84	46	294	202	338	112
spike-in_5.5_2.15_7077	24	26	41	36	191	132	120	151
spike-in_5.5_2.15_7078	37	28	32	56	245	143	188	122
spike-in_5.5_2.15_7079	35	39	41	50	284	182	108	175
spike-in_5.5_2.15_7080	43	27	38	32	251	97	153	131
spike-in_5.5_2.15_7081	51	51	65	45	289	209	253	221
spike-in_5.5_2.15_7082	42	64	43	55	306	204	239	182
spike-in_5.5_2.15_7083	33	42	47	46	271	163	186	153
spike-in_5.5_2.15_7084	50	19	45	52	259	158	188	156
spike-in_5.5_2.15_7085	22	27	32	50	191	151	116	122
spike-in_5.5_2.15_7086	46	36	47	70	341	160	203	168
spike-in_5.5_2.15_7087	44	26	40	29	193	120	156	146
spike-in_5.5_2.15_7088	35	40	45	54	284	194	195	137
spike-in_5.5_2.15_7089	28	30	44	29	187	127	135	139
spike-in_10.5_3.25_7090	1329	1232	2094	1979	21065	13471	14217	13184
spike-in_10.5_3.25_7091	1230	1117	1300	937	15422	9723	10220	9307
spike-in_10.5_3.25_7092	1212	1135	1828	1697	19913	11179	13269	10445
spike-in_10.5_3.25_7093	1066	936	1634	1541	16329	10645	11394	10253
spike-in_10.5_3.25_7094	1370	1167	1686	1387	16448	12226	12850	10128
spike-in_10.5_3.25_7095	1629	1264	2127	1938	21954	14893	15318	13738
spike-in_10.5_3.25_7096	1041	758	1525	1326	14469	9499	9673	9533
spike-in_10.5_3.25_7097	1239	1041	1423	652	14153	9183	8795	9622
spike-in_10.5_3.25_7098	1047	1002	1708	1533	15605	12504	11956	9475
spike-in_10.5_3.25_7099	1530	1397	2329	1070	19743	13998	14664	12546
spike-in_10.5_3.25_7100	922	822	1453	1309	14118	9535	9931	8950
spike-in_10.5_3.25_7101	1352	1272	1936	1598	20103	12291	14372	12308
spike-in_10.5_3.25_7102	882	739	1293	1204	13159	8312	8602	8182
spike-in_10.5_3.25_7103	1118	829	1184	1325	14469	9499	9673	9533
spike-in_10.5_3.25_7104	1386	1137	1607	923	15605	12504	11956	9475
spike-in_9.5_1.05_7105	712	667	1035	822	2315	1369	1649	1191
spike-in_9.5_1.05_7106	617	520	919	873	2015	1439	1405	1393
spike-in_9.5_1.05_7107	494	502	693	617	1606	1022	983	1086
spike-in_9.5_1.05_7108	787	643	1023	930	2335	1629	1478	1545
spike-in_9.5_1.05_7109	502	422	603	626	1606	1055	916	956
spike-in_9.5_1.05_7110	463	501	694	561	1572	1042	1174	676
spike-in_9.5_1.05_7111	929	863	1167	825	2543	1819	1865	1671
spike-in_9.5_1.05_7112	567	433	641	656	1500	1128	1085	957
spike-in_9.5_1.05_7113	541	523	833	623	1879	1226	1108	1127
spike-in_9.5_1.05_7114	713	664	994	914	2129	1540	1586	1354
spike-in_9.5_1.05_7115	600	554	806	824	2084	1304	1433	1107
spike-in_9.5_1.05_7116	635	532	1011	1055	2235	1394	1621	1352
spike-in_9.5_1.05_7117	484	555	644	600	1497	1108	1060	1024
spike-in_9.5_1.05_7118	466	458	729	584	1617	1032	1074	964
spike-in_9.5_1.05_7119	656	522	963	668	2145	1218	1084	1353
spike-in_9.5_1.05_7120	837	888	1040	901	2715	1522	1868	1667
spike-in_9.5_1.05_7121	518	442	753	643	1489	1245	1166	1050
spike-in_9.5_1.05_7122	701	628	1058	922	2303	1659	1461	1513
spike-in_9.5_1.05_7123	831	700	760	674	2121	1417	1227	1343
spike-in_9.5_1.05_7124	331	352	634	778	1545	941	980	852
spike-in_9.5_1.05_7125	444	444	641	600	1474	922	1035	957
spike-in_9.5_1.05_7126	986	909	1008	789	2388	1871	1633	1542
spike-in_9.5_1.05_7127	572	522	846	1004	1955	1359	1497	1334
spike-in_9.5_1.05_7128	477	435	676	591	1450	904	1035	983
spike-in_9.5_1.05_7129	1058	754	806	602	2245	1410	1581	1527
spike-in_9.5_1.05_7130	494	502	693	617	1780	1022	1124	975
spike-in_9.5_1.05_7131	1142	992	1083	784	2895	1813	1957	1755
spike-in_9.5_1.05_7132	680	615	1047	1479	2577	1747	1777	1758
spike-in_9.5_1.05_7133	825	681	1274	962	1871	2116	1991	1764
spike-in_9.5_1.05_7134	609	524	918	792	2077	1180	1291	1163
spike-in_9.5_1.05_7135	734	661	904	470	1961	1277	1250	1249
spike-in_9.5_1.05_7136	470	454	628	500	1346	972	1019	934
spike-in_9.5_1.05_7137	840	590	916	694	2175	1142	1422	1418
spike-in_9.5_1.05_7138	958	724	1043	656	2447	1558	1636	1502
spike-in_9.5_1.05_7139	429	379	690	672	1655	856	1102	848
spike-in_9.5_1.05_7140	503	463	745	769	1749	1227	1170	1117
spike-in_9.5_1.05_7141	678	578	1097	950	2319	1414	1573	1470
spike-in_9.5_1.05_7142	507	433	702	687	1791	1021	1108	928
spike-in_9.5_1.05_7143	653	536	957	964	2149	1377	1594	1310
spike-in_9.5_1.05_7144	480	382	719	734	1693	1075	1092	1076
spike-in_9.5_1.05_7145	580	452	828	726	1842	1246	1274	1146
spike-in_7.5_3.75_7146	152	182	188	172	3335	2106	2171	1970
spike-in_7.5_3.75_7147	168	159	235	207	4104	1873	2821	1882
spike-in_7.5_3.75_7148	107	98	163	192	2184	2168	1954	1502
spike-in_7.5_3.75_7149	137	163	174	157	2985	1929	1574	1833
spike-in_7.5_3.75_7150	232	200	278	254	4289	2931	2913	2856
spike-in_7.5_3.75_7151	62	421	95	295	3946	2545	2522	2475
spike-in_7.5_3.75_7152	238	237	255	250	4671	3092	3026	2880
spike-in_7.5_3.75_7153	154	151	252	244	3468	2343	2452	2446
spike-in_7.5_3.75_7154	132	141	209	219	3239	2122	2190	1986
spike-in_7.5_3.75_7155	133	109	236	226	3396	1771	2292	2012
spike-in_7.5_3.75_7156	133	200	168	142	2981	1858	1895	1889
spike-in_7.5_3.75_7157	213	192	255	325	4535	2625	2930	2899
spike-in_7.5_3.75_7158	168	150	196	158	3023	2099	2021	1871
spike-in_7.5_3.75_7159	193	201	183	183	2947	2922	2746	1732
spike-in_7.5_3.75_7160	119	115	204	156	2512	1872	1889	1609
spike-in_7.5_3.75_7161	229	147	304	280	4675	3314	2363	2575
spike-in_7.5_3.75_7162	114	85	153	211	2450	1784	1759	1656
spike-in_7.5_3.75_7163	68	202	400	258	4211	2676	2607	2788
spike-in_7.5_3.75_7164	226	144	289	221	4022	2371	2786	2565
spike-in_7.5_3.75_7165	213	184	296	254	4393	2658	3148	2343
spike-in_7.5_3.75_7166	180	181	228	236	4109	2222	2767	2146
spike-in_7.5_3.75_7167	180	124	254	131	3613	1741	2402	1384
spike-in_7.5_3.75_7168	102	84	162	193	2558	1646	1626	1555
spike-in_7.5_3.75_7169	145	111	185	154	2886	1836	1980	1476
spike-in_7.5_3.75_7170	180	182	258	302	4110	2866	2840	2622
spike-in_7.5_3.75_7171	178	169	306	208	3694	2611	2493	2615
spike-in_7.5_3.75_7172	226	178	280	179	3466	2845	2952	2335
spike-in_7.5_3.75_7173	170	186	122	124	2522	2061	2216	1475
spike-in_7.5_3.75_7174	85	121	217	159	2600	1778	1884	1543
spike-in_7.5_3.75_7175	147	169	275	246	3583	2348	2860	2271
spike-in_7.5_3.75_7176	173	130	213	274	3652	2472	2401	2488
spike-in_7.5_3.75_7177	128	91	189	165	2450	1784	1759	1656
spike-in_7.5_3.75_7178	180	221	193	136	3619	1984	2587	1884
spike-in_7.5_3.75_7179	143	125	212	172	3015	2187	1870	1885
spike-in_7.5_3.75_7180	157	121	174	145	2647	2021	2025	1631
spike-in_7.5_3.75_7181	127	166	150	202	2793	1846	1961	1839
spike-in_7.5_3.75_7182	186	156	167	315	3757	2423	2348	2419
spike-in_7.5_3.75_7183	194	182	287	230	4014	2571	2978	2536
spike-in_7.5_3.75_7184	154	109	123	231	2626	1899	1905	1740
spike-in_7.5_3.75_7185	132	99	190	140	2670	1625	1826	1551
spike-in_7.5_3.75_7186	177	162	103	194	2899	1936	1813	1782
spike-in_7.5_3.75_7187	107	83	165	217	2567	1682	1701	1700
spike-in_7.5_3.75_7188	150	120	248	203	3270	2151	2289	2134
spike-in_7.5_3.75_7189	220	188	245	258	3913	2718	2648	2672
spike-in_7.5_3.75_7190	119	142	187	147	2855	1736	1840	1778
spike-in_6.5_2.55_7191	64	64	84	94	685	399	439	294
spike-in_6.5_2.55_7192	75	76	163	58	755	478	506	527
spike-in_6.5_2.55_7193	98	57	105	104	748	445	501	413
spike-in_6.5_2.55_7194	38	85	55	115	644	410	353	317
spike-in_6.5_2.55_7195	73	44	78	107	619	338	465	348
spike-in_6.5_2.55_7196	47	61	96	52	440	377	373	286
spike-in_6.5_2.55_7197	70	68	68	140	670	449	534	456
spike-in_6.5_2.55_7198	98	141	135	134	1009	697	687	633
spike-in_6.5_2.55_7199	114	93	94	73	737	432	534	439
spike-in_6.5_2.55_7200	126	72	163	108	958	580	576	647
spike-in_6.5_2.55_7201	67	88	95	66	594	360	460	448
spike-in_6.5_2.55_7202	129	119	115	88	915	526	681	514
spike-in_6.5_2.55_7203	109	108	133	65	864	518	574	528
spike-in_6.5_2.55_7204	92	72	64	78	731	325	468	343
spike-in_6.5_2.55_7205	78	58	84	141	668	603	488	440
spike-in_6.5_2.55_7206	49	63	83	95	537	376	407	416
spike-in_6.5_2.55_7207	103	76	108	37	604	425	516	339
spike-in_6.5_2.55_7208	84	66	81	62	576	402	422	352
spike-in_6.5_2.55_7209	94	80	116	91	772	529	521	485
spike-in_6.5_2.55_7210	116	87	136	148	1011	575	744	489
spike-in_6.5_2.55_7211	157	97	125	118	916	669	646	608
spike-in_6.5_2.55_7212	126	75	100	114	857	479	576	529
spike-in_6.5_2.55_7213	83	75	100	58	673	378	452	316
spike-in_6.5_2.55_7214	133	70	110	110	829	584	565	515
spike-in_6.5_2.55_7215	79	78	98	98	681	403	535	405
spike-in_6.5_2.55_7216	135	85	115	128	1003	535	701	577
spike-in_6.5_2.55_7217	63	38	72	85	618	304	317	262
spike-in_6.5_2.55_7218	72	66	89	129	709	466	439	434
spike-in_6.5_2.55_7219	128	115	128	107	992	510	678	551
spike-in_6.5_2.55_7220	161	88	108	145	1102	547	735	635
spike-in_6.5_2.55_7221	112	124	99	124	931	629	623	546
spike-in_6.5_2.55_7222	100	76	96	59	640	453	418	385
spike-in_6.5_2.55_7223	96	84	166	111	1051	544	726	430
spike-in_6.5_2.55_7224	52	69	114	106	624	459	494	444
spike-in_6.5_2.55_7225	118	98	119	98	848	521	582	541
spike-in_6.5_2.55_7226	54	56	134	55	529	444	462	362
spike-in_6.5_2.55_7227	78	69	81	48	630	339	350	313
spike-in_6.5_2.55_7228	99	121	159	117	1011	650	656	584
spike-in_6.5_2.55_7229	104	79	138	96	842	576	559	455
spike-in_6.5_2.55_7230	129	112	105	148	916	669	646	608
spike-in_6.5_2.55_7231	86	75	64	73	683	394	322	399
spike-in_6.5_2.55_7232	85	86	153	145	970	563	566	631
spike-in_6.5_2.55_7233	100	65	113	119	790	444	531	524
spike-in_6.5_2.55_7234	60	38	76	88	548	378	280	328
spike-in_6.5_2.55_7235	62	78	74	60	493	400	381	321
spike-in_6.5_2.55_7236	96	73	149	153	931	629	623	546
spike-in_10.5_1.25_7237	1559	1097	1595	1550	4671	3449	3575	2476
spike-in_10.5_1.25_7238	1132	991	1440	818	3339	2668	2447	2107
spike-in_10.5_1.25_7239	1254	1367	1662	1396	3991	3531	3454	2512
spike-in_10.5_1.25_7240	1258	1121	1799	1520	4666	2836	3160	3092
spike-in_10.5_1.25_7241	1132	998	1658	1460	4359	2617	2859	2724
spike-in_10.5_1.25_7242	1082	924	1603	1460	4358	2837	2485	2395
spike-in_10.5_1.25_7243	1105	1011	1632	1384	4683	2047	3302	2090
spike-in_10.5_1.25_7244	920	760	1295	1142	3317	2154	2535	2099
spike-in_10.5_1.25_7245	1610	1519	1805	1202	4575	3911	3666	2292
spike-in_10.5_1.25_7246	1175	997	1598	1574	4364	2905	2874	2912
spike-in_10.5_1.25_7247	2064	1529	1911	1498	5654	3405	3437	3628
